Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
54284,22,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,545454.5455,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,30016,63982,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,24378,2,2,168,332,84,84,84.0,0.0,166,166,166.0,0.0,20510.29617,164.0823693,8126.0,14067.71666,24370,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,64,82.04118467,82.04118467,84,166,116.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,146.0,84.0,166.0,40,0,0,0,0,0,0,2,168,2,332,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
123,197,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,974619.2893,20304.56853,65.66666667,110.2784355,193,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,10152.28426,10152.28426,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,363242,3,4,430,2266,430,0,143.3333333,248.2606158,2266,0,566.5,1133.0,7422.049212,19.27089929,60540.33333,116751.1829,296628,5,329593,164796.5,186437.8952,296628,32965,330367,110122.3333,189995.7646,329510,5,0,0,0,0,104,136,8.258956839,11.01194245,0,2266,337.0,793.8247378,630157.7143,0,0,0,1,0,0,0,0,1,385.1428571,143.3333333,566.5,104,0,0,0,0,0,0,3,430,4,2266,29200,237,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
51337,42,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,285714.2857,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,23809.52381,23809.52381,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,343,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,17166082,2,2,91,189,46,45,45.5,0.707106781,127,62,94.5,45.96194078,16.31123514,0.233017645,5722027.333,9884101.85,17100000,492,17200000,17200000.0,0.0,17200000,17200000,17100000,17100000.0,0.0,17100000,17100000,0,0,0,0,52,72,0.116508822,0.116508822,45,127,65.2,35.26613106,1243.7,0,0,0,0,0,0,0,0,1,81.5,45.5,94.5,52,0,0,0,0,0,0,2,91,2,189,-1,-1,1,20,30398.0,0.0,30398,30398,17100000.0,0.0,17100000,17100000,0
56334,3,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,333333.333333333,333333.333333333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,106,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,13875557,15,21,18534,14671,4697,0,1235.6,1948.328727,2920,0,698.6190476,847.7164901,2393.057086,2.594490441,396444.4857,1706863.192,9949678,2,13900000,990960.2857,2643233.387,9949678,15,13800000,692153.8,2253854.951,10000000,2,0,0,0,0,312,432,1.081037684,1.513452757,0,4697,897.4324324,1403.042914,1968529.419,0,0,0,1,0,0,0,0,1,922.3611111,1235.6,698.6190476,312,0,0,0,0,0,0,15,18534,21,14671,8192,138,14,20,3923766.0,0.0,3923766,3923766,9949678.0,0.0,9949678,9949678,0
53,46931,1,1,42,133,42,42,42.0,0.0,133,133,133.0,0.0,3728.878566,42.61575504,46931.0,0.0,46931,46931,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,21.30787752,21.30787752,42,133,72.33333333,52.5388745,2760.333333,0,0,0,0,0,0,0,0,1,108.5,42.0,133.0,32,0,0,0,0,0,0,1,42,1,133,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
59557,24,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,500000.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41666.66667,41666.66667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,288,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
